Location,Property,"Area Serviced (choose all that apply)","Acres Salted","Blade Used","Submission Date","Submitted By","Assigned To"
"Sec 21 - Bartlett","1301-1401 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 12:33 AM","SnowPlus Staff","Ernie Vargas"
"Sec 17 - Lombard / Oakbrook","1 S 450 Summit","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 12:31 AM","SnowPlus Staff","Greg Skonie"
"Sec 17 - Lombard / Oakbrook","2301-2311 22nd St","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 12:26 AM","SnowPlus Staff","Greg Skonie"
"Sec 03 - Aurora","4151 McCoy","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"01/28/2016 12:25 AM","SnowPlus Staff","Mito Sopko"
"Sec 21 - Bartlett","1300 Mark","North  Side       ,West Side       ","1/16 of lot ",no,"01/28/2016 12:24 AM","SnowPlus Staff","Ernie Vargas"
"Sec 21 - Bartlett","2521 Lively","South Side      ","1/16 of lot ",no,"01/28/2016 12:21 AM","SnowPlus Staff","Ernie Vargas"
"Sec 17 - Lombard / Oakbrook","Oak brook International","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 12:17 AM","SnowPlus Staff","Jim Rose"
"Sec 03 - Aurora","3901 Liberty","North  Side       ,West Side       ,East Side       ","1/4 of lot",no,"01/28/2016 12:15 AM","SnowPlus Staff","Mito Sopko"
"Sec 21 - Bartlett","1201-1251 Mark","North  Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 12:15 AM","SnowPlus Staff","Ernie Vargas"
"Sec 21 - Bartlett","1107 Mark","North  Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 12:11 AM","SnowPlus Staff","Ernie Vargas"
"Sec 03 - Aurora","4222 Meridian Pkwy","South Side      ,West Side       ,East Side       ","1/2 of lot",no,"01/28/2016 12:08 AM","SnowPlus Staff","Mito Sopko"
"Sec 35 - Woodridge Industrial",Xcell,"West Side       ","1/16 of lot ",no,"01/28/2016 12:08 AM","SnowPlus Staff","Doug Hendon"
"Sec 03 - Aurora","858 Meridian","North  Side       ,South Side      ,West Side       ","1/2 of lot",no,"01/28/2016 12:07 AM","SnowPlus Staff","Mito Sopko"
"Sec 17 - Lombard / Oakbrook","Art Van - Butterfield","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 12:06 AM","SnowPlus Staff","Greg Skonie"
"Sec 35 - Woodridge Industrial","10220 Werch","North  Side       ","1/16 of lot ",no,"01/28/2016 12:02 AM","SnowPlus Staff","Doug Hendon"
"Sec 17 - Lombard / Oakbrook","Eisenhower Buildings","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/27/2016 11:59 PM","SnowPlus Staff","Greg Skonie"
"Sec 21 - Bartlett","2521 Lively","South Side      ","1/16 of lot ",no,"01/27/2016 11:59 PM","SnowPlus Staff","Ernie Vargas"
"Sec 21 - Bartlett","2521 Lively","South Side      ","1/16 of lot ",no,"01/27/2016 11:59 PM","SnowPlus Staff","Ernie Vargas"
"Sec 10 - Bolingbrook West","901 Carlow","North  Side       ,South Side      ,West Side       ","1/16 of lot ",no,"01/27/2016 11:58 PM","SnowPlus Staff","Donato Garcia"
"Sec 10 - Bolingbrook West","1601 Remington","North  Side       ,South Side      ","1/16 of lot ",no,"01/27/2016 11:58 PM","SnowPlus Staff","Donato Garcia"
"Sec 03 - Aurora","4394 Liberty","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"01/27/2016 11:54 PM","SnowPlus Staff","Mito Sopko"
"Sec 21 - Bartlett","1501 Pratt","North  Side       ","1/16 of lot ",no,"01/27/2016 11:47 PM","SnowPlus Staff","Ernie Vargas"
"Sec 09 - Bolingbrook North","250 Manhiem","North  Side       ,East Side       ","1/16 of lot ",no,"01/27/2016 11:43 PM","SnowPlus Staff","Jim Jungles"
"Sec 10 - Bolingbrook West","901 Carlow","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/27/2016 11:39 PM","SnowPlus Staff","Donato Garcia"
"Sec 21 - Bartlett","1601 Pratt","West Side       ","1/16 of lot ",no,"01/27/2016 11:30 PM","SnowPlus Staff","Ernie Vargas"
"Sec 08 - Berkeley","659-699 Supreme","South Side      ,East Side       ","1/16 of lot ",no,"01/27/2016 11:28 PM","SnowPlus Staff","Ernie Vargas"
"Sec 08 - Berkeley","950-990 Supreme","North  Side       ,West Side       ","1/16 of lot ",no,"01/27/2016 11:27 PM","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building Industrial Center","West Side       ","1/16 of lot ",no,"01/27/2016 11:25 PM","SnowPlus Staff","Ernie Vargas"
"Sec 10 - Bolingbrook West","1055 Remington","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/27/2016 11:21 PM","SnowPlus Staff","Bill Gabris"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building Industrial Center","West Side       ","1/16 of lot ",no,"01/27/2016 11:20 PM","SnowPlus Staff","Ernie Vargas"
"Sec 10 - Bolingbrook West","605 Territorial","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/27/2016 11:20 PM","SnowPlus Staff","Bill Gabris"
"Sec 10 - Bolingbrook West","595 Territorial","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/27/2016 11:20 PM","SnowPlus Staff","Bill Gabris"
"Sec 10 - Bolingbrook West","606-612 Territorial","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/27/2016 11:20 PM","SnowPlus Staff","Tom Ustaszewski"
"Sec 10 - Bolingbrook West","850 Remington","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/27/2016 11:20 PM","SnowPlus Staff","Tom Ustaszewski"
"Sec 10 - Bolingbrook West","581 Territorial","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/27/2016 11:19 PM","SnowPlus Staff","Tom Ustaszewski"
"Sec 10 - Bolingbrook West","500 & 510 Territorial & 1 Northpointe Ct","North  Side       ,South Side      ,East Side       ","1/16 of lot ",no,"01/27/2016 11:03 PM","SnowPlus Staff","Tom Ustaszewski"
"Sec 10 - Bolingbrook West","750 Veterans","North  Side       ,South Side      ","1/16 of lot ",no,"01/27/2016 11:02 PM","SnowPlus Staff","Tom Ustaszewski"
"Sec 10 - Bolingbrook West","850 Veterans","North  Side       ,West Side       ","1/16 of lot ",no,"01/27/2016 11:02 PM","SnowPlus Staff","Bill Gabris"
"Sec 10 - Bolingbrook West","850 Remington","North  Side       ,West Side       ","1/16 of lot ",no,"01/27/2016 11:02 PM","SnowPlus Staff","Tom Ustaszewski"
