Location,Property,"Area Serviced (choose all that apply)","Acres Salted","Blade Used","Submission Date","Submitted By","Assigned To"
"Sec 19 - Elk Grove Village","900 Thorndale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:43 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","900 Thorndale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:43 AM","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building E & F","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"02/02/2016 01:43 AM","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building E & F","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"02/02/2016 01:43 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2800 - 2900 Lively","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:42 AM","SnowPlus Staff","Ernie Vargas"
"Sec 03 - Aurora","3901 Liberty","North  Side       ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:40 AM","SnowPlus Staff","Mito Sopko"
"Sec 08 - Berkeley","Melrose Park Center","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:39 AM","SnowPlus Staff","Jim Jungles"
"Sec 35 - Woodridge Industrial","10220 Werch","North  Side       ,South Side      ,East Side       ","1/2 of lot",no,"02/02/2016 01:38 AM","SnowPlus Staff","Doug Hendon"
"Sec 08 - Berkeley","5300 Proviso","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:37 AM","SnowPlus Staff","Jim Jungles"
"Sec 17 - Lombard / Oakbrook","1 S 450 Summit","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:35 AM","SnowPlus Staff","Greg Skonie"
"Sec 03 - Aurora","4222 Meridian Pkwy","West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:35 AM","SnowPlus Staff","Mito Sopko"
"Sec 03 - Aurora","858 Meridian","North  Side       ,West Side       ,East Side       ","1/8 of lot",no,"02/02/2016 01:32 AM","SnowPlus Staff","Mito Sopko"
"Sec 07 - Bensenville","950-990 Supreme","North  Side       ,South Side      ,East Side       ","1/16 of lot ",no,"02/02/2016 01:31 AM","SnowPlus Staff","Ernie Vargas"
"Sec 17 - Lombard / Oakbrook","2301-2311 22nd St","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:28 AM","SnowPlus Staff","Greg Skonie"
"Sec 35 - Woodridge Industrial","10350 Beaudin","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"02/02/2016 01:28 AM","SnowPlus Staff","Doug Hendon"
